Animal No	Parents	DOB	Location	Cage No	Animal No in Cage	Sex	Purpose	Surgery date	Injection	Comments	Pain model	Sac date	Section date	Mounted	Cryoprotect
368	WTL391	3/29/21	5558C	69	4	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	FDIC	-	-	-	-	-
369	WTL391	3/29/21	5558C	69	5	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	FDIC	-	-	-	-	-
370	WTL391	3/29/21	5558C	69	6	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y			
															
362	WTL429	6/16/21	5558C	70	1	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y			
363	WTL429	6/16/21	5558C	70	2	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y			
364	WTL429	6/16/21	5558C	70	3	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y			
365	WTL429	6/16/21	5558C	70	4	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y			
366	WTL429	6/16/21	5558C	70	5	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y			
367	WTL427	6/11/21	5558C	70	6	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y			
368	WTL428	6/16/21	5558C	71	1	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y			
369	WTL430	6/17/21	5558C	71	2	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y			
370	WTL430	6/17/21	5558C	71	3	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y			
															
371			5558C	72	1	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
372			5558C	72	2	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
373			5558C	72	3	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
374			5558C	72	4	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
375			5558C	72	5	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
376			5558C	72	6	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
377			5558C	72	7	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
378			5558C	72	8	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
379			5558C	72	9	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
380			5558C	72	10	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
381			5558C	72	11	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y			
															
381			5558C	73	1	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
382			5558C	73	2	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
383			5558C	73	3	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
384			5558C	73	4	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
385			5558C	73	5	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
386			5558C	73	6	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
387			5558C	73	7	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
388			5558C	73	8	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
389			5558C	73	9	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
390			5558C	73	10	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
391			5558C	73	11	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y			
															
392			5558C	74	1	M	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
393			5558C	74	2	M	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
394			5558C	74	3	M	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
395			5558C	74	4	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
396			5558C	74	5	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
397			5558C	74	6	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
398			5558C	74	7	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
399			5558C	74	8	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
400			5558C	74	9	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
401			5558C	74	10	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
402			5558C	74	11	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
403			5558C	74	12	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y			
															
404			5558C	75	1	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
405			5558C	75	2	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
406			5558C	75	3	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
407			5558C	75	4	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
408			5558C	75	5	F	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
409			5558C	75	6	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
410			5558C	75	7	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
411			5558C	75	8	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
412			5558C	75	9	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
413			5558C	75	10	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y			
															
414	WTL502		5558C	76	1	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"	Perfused for tracing	-	Y	Y	Y	
415	WTL502		5558C	76	2	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"	Perfused for tracing	-	Y	Y	Y	
416	WTL502		5558C	76	3	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
417	WTL502		5558C	76	4	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
418	WTL502		5558C	76	5	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
419	WTL502		5558C	76	6	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"	FDIC	-	-	-	-	-
420	WTL502		5558C	76	7	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
421	WTL502		5558C	76	8	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
422	WTL502		5558C	76	9	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
423	WTL502		5558C	76	10	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
424	WTL502		5558C	76	11	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
425	WTL502		5558C	76	12	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y	
															
414	WTL503		5558C	77	1	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "	FDIC	-	-	-	-	-
415	WTL503		5558C	77	2	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
416	WTL503		5558C	77	3	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
417	WTL503		5558C	77	4	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
418	WTL503		5558C	77	5	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
419	WTL503		5558C	77	6	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
420	WTL503		5558C	77	7	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
421	WTL503		5558C	77	8	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
422	WTL503		5558C	77	9	M	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
425	WTL503		5558C	77	10	M	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y	
															
426	WTL511		5558C	78	1	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22			
427	WTL511		5558C	78	2	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22			
428	WTL511		5558C	78	3	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22			
429	WTL511		5558C	78	4	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22			
430	WTL511		5558C	78	5	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22			
															
431			5558C		Y1	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-
432			5558C		Y2	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-
433			5558C		Y3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-
434			5558C		Y4	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-
435			5558C		Y5	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-
436			5558C		Y6	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y	Y	Y
437			5558C		Y7	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y	Y	Y
438			5558C		Y8	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-
439			5558C		Y9	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
440			5558C		Y10	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-
441			5558C		Y11	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
442			5558C		Y12	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y	Y	Y
															
431			5558C		Y13	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
432			5558C		Y14	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
433			5558C		Y15	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
434			5558C		Y16	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
435			5558C		Y17	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
436			5558C		Y18	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
437			5558C		Y19	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
438			5558C		Y20	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
439			5558C		Y21	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
440			5558C		Y22	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
441			5558C		Y23	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
442			5558C		Y24	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
443			5558C		Y25	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
444			5558C		Y26	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
445			5558C		Y27	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
446			5558C		Y28	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y
															
447	WTL532		5558C		Y28	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
448	WTL532		5558C		Y29	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
449	WTL532		5558C		Y30	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
450	WTL532		5558C		Y31	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
451	WTL532		5558C		Y32	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
452	WTL532		5558C		Y33	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
453	WTL532		5558C		Y34	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
454	WTL532		5558C		Y35	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
455	WTL532		5558C		Y36	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
456	WTL533		5558C		Y37	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
457	WTL533		5558C		Y38	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
458	WTL533		5558C		Y39	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
459	WTL534		5558C		Y40	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
460	WTL534		5558C		Y41	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
461	WTL534		5558C		Y42	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
462	WTL534		5558C		Y43	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
463	WTL534		5558C		Y44	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
464	WTL534		5558C		Y29R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
465	WTL529		5558C		Y30R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
466	WTL529		5558C		Y31R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
467	WTL529		5558C		Y35R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
468	WTL531		5558C		Y36R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
469	WTL531		5558C		Y37R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
470	WTL535		5558C		Y40R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
471	WTL535		5558C		Y41R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-
472	WTL535		5558C		Y34R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
473	WLT536		5558C		Y35R2	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
474	WTL530		5558C		Y37R2	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
475	WTL530		5558C		Y29R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
476	WLTL524		5558C		Y31R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
477	WLTL524		5558C		Y41R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
478	WLTL524		5558C		Y45R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
479	WLTL524		5558C		Y46R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y		
															
480			5558C		Y47	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22			
481			5558C		Y48	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22			
482			5558C		Y49	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22			
483			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-
484			5558C		Y50	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22			
485			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-
486			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-
