Animal No	Parents	DOB	Location	Cage No	Animal No in Cage	Sex	Purpose	Surgery date	Injection	Comments	Pain model	Sac date	Section date	Mounted	Cryoprotect	Is Archived
362	WTL389	3/28/21	5558C	68	2	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	Replaced with WTL392	CFA	Y				Y
363	WTL390	3/28/21	5558C	68	3	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y				Y
364	WTL390	3/28/21	5558C	68	4	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	Died post-CFA injection	-	-	-	-	-	Y
365	WTL391	3/29/21	5558C	69	1	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y				Y
366	WTL391	3/29/21	5558C	69	2	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y				Y
367	WTL391	3/29/21	5558C	69	3	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	Sac due to laceration on skin	-	-	-	-	-	Y
368	WTL391	3/29/21	5558C	69	4	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	FDIC	-	-	-	-	-	Y
369	WTL391	3/29/21	5558C	69	5	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	FDIC	-	-	-	-	-	Y
370	WTL391	3/29/21	5558C	69	6	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y				Y
																
362	WTL429	6/16/21	5558C	70	1	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y				Y
363	WTL429	6/16/21	5558C	70	2	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y				Y
364	WTL429	6/16/21	5558C	70	3	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y				Y
365	WTL429	6/16/21	5558C	70	4	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y				Y
366	WTL429	6/16/21	5558C	70	5	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y				Y
367	WTL427	6/11/21	5558C	70	6	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y				Y
368	WTL428	6/16/21	5558C	71	1	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y				Y
369	WTL430	6/17/21	5558C	71	2	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y				Y
370	WTL430	6/17/21	5558C	71	3	F	"stim in the dHPC, FP in the NAc. CFA vs Sal"	8/17/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y				Y
																
371			5558C	72	1	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
372			5558C	72	2	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
373			5558C	72	3	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
374			5558C	72	4	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
375			5558C	72	5	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
376			5558C	72	6	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
377			5558C	72	7	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
378			5558C	72	8	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
379			5558C	72	9	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
380			5558C	72	10	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
381			5558C	72	11	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"		-	Y				Y
																
381			5558C	73	1	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
382			5558C	73	2	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
383			5558C	73	3	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
384			5558C	73	4	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
385			5558C	73	5	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
386			5558C	73	6	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
387			5558C	73	7	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
388			5558C	73	8	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
389			5558C	73	9	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
390			5558C	73	10	F	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
391			5558C	73	11	M	Stim in the dHPC and Gi in the MS	8/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers"	Did RTPT but did not see an effect with blocking of MS	-	Y				Y
																
392			5558C	74	1	M	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
393			5558C	74	2	M	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
394			5558C	74	3	M	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
395			5558C	74	4	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
396			5558C	74	5	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
397			5558C	74	6	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
398			5558C	74	7	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
399			5558C	74	8	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
400			5558C	74	9	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
401			5558C	74	10	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
402			5558C	74	11	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
403			5558C	74	12	F	Stim in the MS and Gi in the dHPC	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; "	Did RTPT and Self-Stim	-	Y				Y
																
404			5558C	75	1	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
405			5558C	75	2	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
406			5558C	75	3	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
407			5558C	75	4	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
408			5558C	75	5	F	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
409			5558C	75	6	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
410			5558C	75	7	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
411			5558C	75	8	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
412			5558C	75	9	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
413			5558C	75	10	M	Stim in the MS and Gi in the Dhpc	9/30/21	"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;"		-	Y				Y
																
414	WTL502		5558C	76	1	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"	Perfused for tracing	-	Y	Y	Y		Y
415	WTL502		5558C	76	2	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"	Perfused for tracing	-	Y	Y	Y		Y
416	WTL502		5558C	76	3	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
417	WTL502		5558C	76	4	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
418	WTL502		5558C	76	5	F	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
419	WTL502		5558C	76	6	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"	FDIC	-	-	-	-	-	Y
420	WTL502		5558C	76	7	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
421	WTL502		5558C	76	8	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
422	WTL502		5558C	76	9	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
423	WTL502		5558C	76	10	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
424	WTL502		5558C	76	11	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
425	WTL502		5558C	76	12	M	Stimulation of the direct projection from dHPC to NAc	1/24/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka"		-	Y	Y	Y		Y
																
414	WTL503		5558C	77	1	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "	FDIC	-	-	-	-	-	Y
415	WTL503		5558C	77	2	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
416	WTL503		5558C	77	3	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
417	WTL503		5558C	77	4	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
418	WTL503		5558C	77	5	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
419	WTL503		5558C	77	6	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
420	WTL503		5558C	77	7	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
421	WTL503		5558C	77	8	F	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
422	WTL503		5558C	77	9	M	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
425	WTL503		5558C	77	10	M	Stimulation of the direct projection from dHPC to NAc	1/28/22	"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka "		-	Y	Y	Y		Y
																
426	WTL511		5558C	78	1	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22				Y
427	WTL511		5558C	78	2	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22				Y
428	WTL511		5558C	78	3	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22				Y
429	WTL511		5558C	78	4	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22				Y
430	WTL511		5558C	78	5	F	Tracing from the NAc to the dHPC	2/28/22	retroAAV-CAMKII-ChR2-mCherry		-	6/3/22				Y
																
431			5558C		Y1	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-	Y
432			5558C		Y2	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-	Y
433			5558C		Y3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-	Y
434			5558C		Y4	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-	Y
435			5558C		Y5	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-	Y
436			5558C		Y6	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y	Y	Y	Y
437			5558C		Y7	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y	Y	Y	Y
438			5558C		Y8	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-	Y
439			5558C		Y9	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
440			5558C		Y10	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	Headcap came out during infusion	-	-	-	-	-	Y
441			5558C		Y11	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
442			5558C		Y12	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y	Y	Y	Y
																
431			5558C		Y13	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
432			5558C		Y14	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
433			5558C		Y15	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
434			5558C		Y16	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
435			5558C		Y17	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
436			5558C		Y18	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
437			5558C		Y19	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
438			5558C		Y20	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
439			5558C		Y21	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
440			5558C		Y22	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
441			5558C		Y23	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
442			5558C		Y24	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
443			5558C		Y25	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
444			5558C		Y26	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
445			5558C		Y27	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
446			5558C		Y28	M	Lei-Dab7 daily infusion PRACTICE CPP	3/22/22	Cannula Implants		-	Y	Y	Y	Y	Y
																
447	WTL532		5558C		Y28	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
448	WTL532		5558C		Y29	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
449	WTL532		5558C		Y30	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
450	WTL532		5558C		Y31	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
451	WTL532		5558C		Y32	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
452	WTL532		5558C		Y33	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
453	WTL532		5558C		Y34	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
454	WTL532		5558C		Y35	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
455	WTL532		5558C		Y36	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
456	WTL533		5558C		Y37	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
457	WTL533		5558C		Y38	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
458	WTL533		5558C		Y39	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
459	WTL534		5558C		Y40	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
460	WTL534		5558C		Y41	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
461	WTL534		5558C		Y42	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
462	WTL534		5558C		Y43	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
463	WTL534		5558C		Y44	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
464	WTL534		5558C		Y29R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
465	WTL529		5558C		Y30R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
466	WTL529		5558C		Y31R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
467	WTL529		5558C		Y35R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
468	WTL531		5558C		Y36R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
